"","PlayerName","pos","points","marg","value"
"47","Michael Floyd","wr",90.74,30.945,20.7929576782793
"48","Matt Forte","rb",138.575,30.37,20.4251777246515
"49","DeMarco Murray","rb",138.03,29.825,20.0765862903435
"50","Julian Edelman","wr",89.285,29.49,19.8623144912734
"51","Jarvis Landry","wr",88.405,28.61,19.2994512578953
"52","Ben Roethlisberger","qb",281.088,28.3200000000001,19.1139622378048
"53","Larry Fitzgerald","wr",87.635,27.84,18.8069459286894
"54","Greg Olsen","te",86.065,27.18,18.3847985036558
"55","Golden Tate","wr",86.89,27.095,18.33043103225
"56","Jordan Matthews","wr",86.43,26.635,18.0362070693478
"57","Jordan Reed","te",84.965,26.08,17.6812194619332
"58","Matt Jones","rb",133.11,24.905,16.9296691219113
"59","DeSean Jackson","wr",84.675,24.88,16.9136786891449
"60","Stephen Gostkowski","k",154,23.5,16.0310068004383
"61","Donte Moncrief","wr",82.625,22.83,15.6024632022981
"62","John Brown","wr",81.965,22.17,15.1803157772645
"63","Emmanuel Sanders","wr",81.545,21.75,14.9116765067886
"64","Ryan Mathews","rb",129.865,21.66,14.8541109488295
"65","Carson Palmer","qb",273.608,20.84,14.3296247540908
"66","Jeremy Langford","rb",128.92,20.715,14.2496725902587
"67","Allen Hurns","wr",80.5,20.705,14.2432764171521
"68","Frank Gore","rb",127.325,19.12,13.2294829797608
"69","Michael Crabtree","wr",78.87,19.075,13.2007002007813
"70","Devante Parker","wr",78.865,19.07,13.197502114228
"71","Blake Bortles","qb",271.198,18.43,12.7881470354076
"72","Justin Tucker","k",148.3,17.8,12.3851881296937
"73","Mason Crosby","k",147.2,16.7,11.681609087971
"74","Steven Hauschka","k",146.6,16.1,11.2978387015769
"75","Melvin Gordon","rb",123.65,15.445,10.8788893630966
"76","Stefon Diggs","wr",74.93,15.135,10.6806079967929
"77","Torrey Smith","wr",74.72,14.925,10.5462883615549
"78","Tyrod Taylor","qb",267.618,14.85,10.4983170632557
"79","Graham Gano","k",144.4,13.9,9.89068061813158
"80","Delanie Walker","te",72.665,13.78,9.81392654085274
"81","Philip Rivers","qb",265.624,12.8560000000001,9.22292014580575
"82","Coby Fleener","te",71.69,12.805,9.19029966296221
"83","Chris Boswell","k",143.3,12.8,9.18710157640894
"84","Eli Manning","qb",265.39,12.6220000000001,9.07324969511204
"85","Travis Kelce","te",71.16,12.275,8.85130248831403
"86","Dan Bailey","k",142.5,12,8.67540772788337
"87","Marvin Jones","wr",71.775,11.98,8.66261538167024
"88","Josh Brown","k",141.9,11.4,8.29163734148921
"89","Ameer Abdullah","rb",119.245,11.04,8.0613751096527
"90","Chandler Catanzaro","k",141.3,10.8,7.90786695509504
"91","Tavon Austin","wr",70.58,10.785,7.89827269543518
"92","Tyler Lockett","wr",70.565,10.77,7.88867843577532
"93","Kevin White","wr",70.335,10.54,7.74156645432423
"94","Blair Walsh","k",140.8,10.3,7.58805829976657
"95","Tyler Eifert","te",68.155,9.27,6.9292524697899
"96","Antonio Gates","te",67.815,8.92999999999999,6.71178258416654
"97","Rashad Jennings","rb",116.3,8.09500000000001,6.177702129768
"98","Gary Barnidge","te",66.94,8.05499999999999,6.15211743734171
"99","Brandon McManus","k",138.3,7.80000000000001,5.9890150231242
"100","Vincent Jackson","wr",67.145,7.35000000000001,5.70118723332857
"101","Giovani Bernard","rb",115.3,7.09499999999998,5.53808481911103
"102","Andy Dalton","qb",259.37,6.60200000000003,5.22275348495719
"103","Ladarius Green","te",64.93,6.045,4.86648664292125
"104","Kirk Cousins","qb",258.508,5.74000000000001,4.67140336317089
"105","Sterling Shepard","wr",65.175,5.38,4.44114113133438
"106","Willie Snead","wr",65.075,5.28,4.37717940026869
"107","Matthew Stafford","qb",257.538,4.76999999999998,4.05097457183363
"108","Jimmy Graham","te",63.495,4.60999999999999,3.94863580212852
"109","Adam Vinatieri","k",135.1,4.59999999999999,3.94223962902196
"110","Markus Wheaton","wr",64.055,4.26000000000001,3.7247697433986
"111","Robbie Gould","k",134.7,4.19999999999999,3.68639270475917
"112","Cairo Santos","k",134.3,3.80000000000001,3.43054578049641
"113","Arian Foster","rb",111.86,3.655,3.33780127045114
"114","Jameis Winston","qb",256.206,3.43800000000005,3.19900431403862
"115","T.J. Yeldon","rb",111.585,3.38,3.16190651002048
"116","Steve Smith","wr",63.045,3.25,3.07875625963508
"117","Mike Nugent","k",133.7,3.19999999999999,3.04677539410223
"118","Jason Witten","te",60.645,1.76,2.12572646675623
"119","LeGarrette Blount","rb",109.74,1.535,1.98181257185841
"120","Zach Miller","te",60.385,1.5,1.95942596598542
"121","Julius Thomas","te",60.185,1.3,1.83150250385403
"122","Terrance Williams","wr",60.98,1.185,1.75794651312848
"123","Dwayne Allen","te",60.04,1.15499999999999,1.73875799380877
"124","Tony Romo","qb",252.768,0,1
"125","Isaiah Crowell","rb",108.205,0,1
"126","Corey Coleman","wr",59.795,0,1
"127","Zach Ertz","te",58.885,0,1
"128","Matt Prater","k",130.5,0,1
